scenario_id,family,generator_provider,pJ,pD,pJ_null,pD_null
F4-A-04T,F4,anthropic,0.7527714753681182,0.617518328865305,0.1590865495991581,0.05340253266570592
F4-A-08T,F4,anthropic,0.0632118817521015,0.26930528064984893,0.0506236878389165,0.17313738540567686
F4-A-10,F4,anthropic,0.34312621402361393,0.5248964536806706,0.4555851494279739,0.3692332877898577
F4-B-03T,F4,openai,0.19055515214122948,0.41623771582181623,0.08188772339969515,0.38626274243182107
F4-B-07,F4,openai,0.4667728060368902,0.21816711854483029,0.09964049787328978,0.04710230786576536
F4-B-09,F4,openai,0.2378926542765374,0.5768783729705567,0.2683782873859666,0.4515660770686134
F4-B-09T,F4,openai,0.298436951816344,0.412759105959797,0.02098396324800764,0.046626262060557006
F5-A-12,F5,anthropic,0.8464412536512768,0.7638027049082613,0.29718487847360125,0.3982057573869072
F5-A-18,F5,anthropic,0.9315199734884841,0.8102838312805952,0.39070562496335615,0.5181905597977966
F5-A-28,F5,anthropic,0.39835900593775997,0.7202968604356375,0.0451129727591223,0.04680736433218269
F5-A-32,F5,anthropic,0.02255278767934353,0.24166170631737294,0.07462709173321,0.32313732607894396
F5-B-13,F5,openai,0.44140229398355824,0.10377306667482931,0.002760765821208112,0.02252677134463717
F5-B-21,F5,openai,0.33668774995209066,0.5244877086357617,0.10917741778635617,0.35898935407526544
F5-B-27,F5,openai,0.11015140262992504,0.5101263422837159,0.21822723494996965,0.6478574291879045
F5-B-29,F5,openai,0.6572175471873054,0.5805716065821802,0.27831683218256664,0.07119471547540238
F5-B-35,F5,openai,0.16319702007296638,0.6809213108489303,0.04816236043486927,0.5552621965121409
F5-A-00,F5,anthropic,0.2832633291906269,0.7594381186153649,0.09558835531826804,0.5082554530875724
F5-A-04,F5,anthropic,0.7363724654104613,0.678660615927587,0.4559950948948941,0.24599986044628427
F5-A-06,F5,anthropic,0.5231485529765815,0.39723740997758744,0.203493792961099,0.28473805671015817
F5-A-08,F5,anthropic,0.3993478217600907,0.39091394979702243,0.2320041925966298,0.3143602491779963
F5-B-01,F5,openai,0.032391891293747005,0.46335774243368366,0.022741597925102414,0.1951730643296523
F5-B-07,F5,openai,0.2526047234145723,0.40691997913885225,0.17039870818312478,0.39785901926981204
F5-A-40,F5,anthropic,0.0714053678575456,0.5569437780126302,0.18902334857627018,0.35138818907495095
F5-A-44,F5,anthropic,0.3549775598194136,0.8075084667588125,0.3215932048119482,0.5175291058864743
F5-A-48,F5,anthropic,0.03674771333366777,0.48413715988342954,0.0492121890118916,0.5007129447363599
F5-A-50,F5,anthropic,0.1315674866858798,0.42605585135727286,0.19943172019168393,0.5389821216450933
F5-A-54,F5,anthropic,0.6977910252399826,0.42658529129872436,0.18312451707220317,0.14031261825767333
F5-B-43,F5,openai,0.6953664241427173,0.7202751797996733,0.4284652013967903,0.5787125982841446
F2-A-20,F2,anthropic,0.017939064293940633,0.6589409957098138,0.007305768075981985,0.7347713087835144
F2-A-38,F2,anthropic,0.00020597411614592403,0.3792217072505071,9.869664675643131e-05,0.397829184542318
F2-B-23,F2,openai,2.5010038347248353e-06,0.5135235058305883,1.4068920696936793e-05,0.2357781260079056
F2-B-25,F2,openai,0.004311065427158985,0.2357741404350432,0.002187460831793377,0.26153831664368943
F2-B-35,F2,openai,1.9703610795280518e-05,0.3032467050915547,2.3914346230057967e-06,0.18502317929469508
F2-B-09,F2,openai,4.462529344303209e-05,0.46353110664735375,9.25620822126411e-05,0.34339964450309013
