run,model,scenario_id,above_floor,above_floor_null,pD,pJ,g,pD_null,pJ_null,g_null,ind,ind_null
three_cell_union,instruct,F1-B-37T,False,False,0.14116969328494253,0.1815161664644836,-0.04034647317954107,0.09788434594026361,0.2452291052114373,-0.1473447592711737,0,0
three_cell_union,instruct,F1-B-39,True,True,0.07150167481115707,0.1399621456154841,-0.06846047080432702,0.02118947376166816,0.043796677691628746,-0.022607203929960587,0,0
three_cell_union,instruct,F1-B-39T,True,True,0.04147517835268223,0.17634045107864144,-0.13486527272595922,0.0668481937452132,0.1880611191772752,-0.121212925432062,0,0
three_cell_union,instruct,F1-B-41,True,True,0.06381243290475895,0.27036247397472485,-0.20655004106996588,0.05562390999175853,0.2680291005807377,-0.21240519058897916,0,0
three_cell_union,instruct,F1-B-41T,True,True,0.8970800921829116,0.6271625517980443,0.26991754038486737,0.05527584540667795,0.08052366067576841,-0.025247815269090458,0,0
three_cell_union,instruct,F1-B-43,True,True,0.09476808471892958,0.2231146352175516,-0.128346550498622,0.04566206389625557,0.21135983142804946,-0.16569776753179388,0,0
three_cell_union,instruct,F1-B-43T,True,True,0.03827860375459481,0.1103579468575929,-0.07207934310299809,0.01997966775645016,0.12288454843020186,-0.1029048806737517,0,0
three_cell_union,instruct,F1-B-45,True,True,0.39519894279509615,0.29996546343954633,0.09523347935554982,0.4839581823203211,0.2551025644873194,0.22885561783300173,0,0
three_cell_union,instruct,F1-B-45T,True,False,0.17482826892657205,0.1513656184896664,0.023462650436905652,0.08683246309673254,0.13075417427990166,-0.04392171118316912,0,0
three_cell_union,instruct,F1-B-47,True,True,0.09509449711571982,0.2134173502689356,-0.11832285315321578,0.17075336922300033,0.198925214112469,-0.028171844889468667,0,0
three_cell_union,instruct,F1-B-47T,True,True,0.12980746910055402,0.31204301184372574,-0.18223554274317172,0.05880847515198476,0.2838448674200418,-0.22503639226805702,0,0
three_cell_union,instruct,F1-B-49,True,True,0.01599423550623328,0.06283471332207663,-0.04684047781584335,0.0075828422758165495,0.05042429171588816,-0.04284144944007161,0,0
three_cell_union,instruct,F1-B-49T,True,True,0.17329876057391236,0.15013728631735712,0.023161474256555237,0.1855780911888142,0.14544652204759378,0.0401315691412204,0,0
three_cell_union,instruct,F1-B-51,True,True,0.24591329275963253,0.2665426479143329,-0.02062935515470038,0.18447366532395254,0.27175798241255533,-0.08728431708860279,0,0
three_cell_union,instruct,F1-B-51T,True,True,0.1392510109430199,0.35540132988585627,-0.21615031894283637,0.07516504160852264,0.2594498753701847,-0.18428483376166208,0,0
three_cell_union,instruct,F1-B-53,False,False,0.25408914721833575,0.2117674206892505,0.04232172652908525,0.029946184332438626,0.16767341826250412,-0.1377272339300655,0,0
three_cell_union,instruct,F1-B-53T,True,True,0.01691967223487592,0.023348398565336197,-0.006428726330460276,0.010818879955238093,0.020559442965135403,-0.00974056300989731,0,0
three_cell_union,instruct,F1-B-55,False,False,0.1344549566863732,0.25510907511461534,-0.12065411842824214,0.0744383126842696,0.24946876261411716,-0.17503044992984756,0,0
three_cell_union,instruct,F1-B-55T,True,True,0.5250995161783124,0.3647861024763712,0.1603134137019412,0.21554545090571442,0.28966327907802175,-0.07411782817230733,0,0
three_cell_union,instruct,F2-A-00,False,False,0.004792243259151127,0.1828310140561169,-0.17803877079696578,0.0025999046265520343,0.08989264077539914,-0.08729273614884711,0,0
three_cell_union,instruct,F2-A-02,True,True,0.018302380171392067,0.06320975433305918,-0.04490737416166712,0.006751228547907333,0.05053279800024615,-0.04378156945233881,0,0
three_cell_union,instruct,F2-A-04,True,True,0.005537560797867057,0.24593820139753053,-0.24040064059966348,0.0016407248272070603,0.0473118864689724,-0.04567116164176534,0,0
three_cell_union,instruct,F2-A-06,True,True,0.0004321792449711038,0.004123543588568953,-0.003691364343597849,0.0007598251643129916,0.003782524439811554,-0.0030226992754985626,0,0
three_cell_union,instruct,F2-A-08,True,True,0.009887130705551358,0.01407227657590283,-0.004185145870351473,0.007183465161013802,0.0031031693097236753,0.004080295851290126,0,0
three_cell_union,instruct,F2-A-10,False,False,0.03179664041886479,0.3331647720074677,-0.30136813158860287,0.06582824491148702,0.30565463652864433,-0.2398263916171573,0,0
three_cell_union,instruct,F2-A-12,False,False,0.003105711248529334,0.007447994997622883,-0.004342283749093549,0.0028446474260919318,0.004544183494135782,-0.0016995360680438503,0,0
three_cell_union,instruct,F2-A-14,False,False,0.008131428572339849,0.04182025228925523,-0.03368882371691538,0.006914313166796379,0.0717205739133289,-0.06480626074653252,0,0
three_cell_union,instruct,F2-A-16,False,False,0.00481426856907141,0.4349403006638406,-0.4301260320947692,0.007563462202973433,0.12525730111896405,-0.11769383891599061,,0
three_cell_union,instruct,F2-A-18,True,True,0.01423139003019934,0.03417068661123472,-0.01993929658103538,0.006852093398107023,0.008484782227423628,-0.0016326888293166052,0,0
three_cell_union,instruct,F2-A-20,False,False,0.15745275946535253,0.21110143039196783,-0.053648670926615294,0.08332373356472736,0.18962157006095304,-0.10629783649622568,0,0
three_cell_union,instruct,F2-A-22,False,True,0.001414550673922611,0.05290902783268329,-0.051494477158760675,0.0021778068591471423,0.04636116093603518,-0.04418335407688804,0,0
three_cell_union,instruct,F2-A-24,True,False,0.006212633514904808,0.01502974209292492,-0.008817108578020112,0.0033543158522858704,0.006371483998429576,-0.0030171681461437054,0,0
three_cell_union,instruct,F2-A-26,True,True,0.014028561289603426,0.015655345526847688,-0.0016267842372442616,0.017352463469485747,0.016701005526758773,0.000651457942726974,0,0
three_cell_union,instruct,F2-A-28,False,False,0.0016288790707899093,0.05587465842610929,-0.05424577935531938,0.004226463320962298,0.1221983839813838,-0.1179719206604215,0,0
three_cell_union,instruct,F2-A-30,True,False,0.0015784631437351505,0.018624473928849476,-0.017046010785114325,0.0013709523219888667,0.039624204524333594,-0.038253252202344726,0,0
